dataset,mode,width,depth,activation,batchnorm,dropout,residual,optimizer,lr,loss,test_acc,best_k,rho,z,connected_all_layers,elapsed_s,run_id,error,session
paper_syn_A_sin_bands_off0.90_nz0.08,synthetic,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,1.0,4,-0.9985237446673049,-3.6053276792386177,True,18.5,paper_syn_A_sin_bands_off0.90_nz0.08__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.08,synthetic,narrow,5,relu,False,0.0,False,adam,0.001,bce,1.0,20,-0.9855763777475812,-2.4623986104306628,True,20.7,paper_syn_A_sin_bands_off0.90_nz0.08__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.08,synthetic,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,1.0,90,-0.9913711024678047,-2.720730964023474,True,26.7,paper_syn_A_sin_bands_off0.90_nz0.08__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.08,synthetic,narrow,5,gelu,False,0.0,False,adam,0.001,bce,1.0,90,-0.9888080026396386,-2.5900458715445414,True,27.7,paper_syn_A_sin_bands_off0.90_nz0.08__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.08,synthetic,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,1.0,5,-0.9366465595417719,-1.7099919823810756,True,18.1,paper_syn_A_sin_bands_off0.90_nz0.08__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.08,synthetic,wide,5,relu,False,0.0,False,adam,0.001,bce,1.0,5,-0.9829978712374071,-2.379513248733724,True,20.1,paper_syn_A_sin_bands_off0.90_nz0.08__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.08,synthetic,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,1.0,90,-0.9978189063832104,-3.4099924537824347,True,31.0,paper_syn_A_sin_bands_off0.90_nz0.08__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.08,synthetic,wide,5,gelu,False,0.0,False,adam,0.001,bce,1.0,90,-0.9910157057411366,-2.700461110921783,True,27.8,paper_syn_A_sin_bands_off0.90_nz0.08__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
