dataset,mode,width,depth,activation,batchnorm,dropout,residual,optimizer,lr,loss,test_acc,best_k,rho,z,connected_all_layers,elapsed_s,run_id,error,session
paper_syn_C_sine_surface_plane_nz0.12_nxy0.03,synthetic,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9175000190734863,4,-0.9436310970424254,-1.7701977808357214,True,39.2,paper_syn_C_sine_surface_plane_nz0.12_nxy0.03__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.12_nxy0.03,synthetic,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.9190000295639038,5,-0.9890040908198676,-2.5989330123299372,True,39.6,paper_syn_C_sine_surface_plane_nz0.12_nxy0.03__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.12_nxy0.03,synthetic,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9175000190734863,18,-0.9999585948506444,-5.3926158910345405,True,39.0,paper_syn_C_sine_surface_plane_nz0.12_nxy0.03__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.12_nxy0.03,synthetic,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.9204999804496765,10,-0.9965126710834238,-3.1750105916830775,True,39.5,paper_syn_C_sine_surface_plane_nz0.12_nxy0.03__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.12_nxy0.03,synthetic,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9194999933242798,12,-0.9873122125475982,-2.526949222459745,True,39.4,paper_syn_C_sine_surface_plane_nz0.12_nxy0.03__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.12_nxy0.03,synthetic,wide,5,relu,False,0.0,False,adam,0.001,bce,0.9225000143051147,12,-0.9993992471508664,-4.055086849872257,True,39.6,paper_syn_C_sine_surface_plane_nz0.12_nxy0.03__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.12_nxy0.03,synthetic,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9150000214576721,15,-0.9993605760313189,-4.023885126645203,True,39.1,paper_syn_C_sine_surface_plane_nz0.12_nxy0.03__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.12_nxy0.03,synthetic,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.9179999828338623,7,-0.996898935017643,-3.2338025642708845,True,39.7,paper_syn_C_sine_surface_plane_nz0.12_nxy0.03__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
