dataset,mode,width,depth,activation,batchnorm,dropout,residual,optimizer,lr,loss,test_acc,best_k,rho,z,connected_all_layers,elapsed_s,run_id,error,session
paper_syn_B_two_spirals_nz0.30_t3.5,synthetic,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.6420000195503235,7,-0.8350935385128959,-1.2047361603910578,True,36.8,paper_syn_B_two_spirals_nz0.30_t3.5__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.30_t3.5,synthetic,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.6495000123977661,6,-0.9469554713155712,-1.8014452050167333,True,37.5,paper_syn_B_two_spirals_nz0.30_t3.5__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.30_t3.5,synthetic,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.656499981880188,9,-0.9922330605122972,-2.7735676155456463,True,36.9,paper_syn_B_two_spirals_nz0.30_t3.5__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.30_t3.5,synthetic,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.6464999914169312,15,-0.9999998842792082,-7.254328619247669,True,40.7,paper_syn_B_two_spirals_nz0.30_t3.5__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.30_t3.5,synthetic,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.6384999752044678,20,-0.3162700003103207,-0.3274970779264405,True,35.6,paper_syn_B_two_spirals_nz0.30_t3.5__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.30_t3.5,synthetic,wide,5,relu,False,0.0,False,adam,0.001,bce,0.6384999752044678,6,-0.7663166539167079,-1.011342346879643,True,37.3,paper_syn_B_two_spirals_nz0.30_t3.5__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.30_t3.5,synthetic,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.6430000066757202,10,-0.9999613393525513,-5.426908093561281,True,37.6,paper_syn_B_two_spirals_nz0.30_t3.5__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.30_t3.5,synthetic,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.6430000066757202,9,-0.9997677662410649,-4.530398584444577,True,38.3,paper_syn_B_two_spirals_nz0.30_t3.5__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
