dataset,mode,width,depth,activation,batchnorm,dropout,residual,optimizer,lr,loss,test_acc,best_k,rho,z,connected_all_layers,elapsed_s,run_id,error,session
paper_syn_A_sin_bands_off0.90_nz0.12,synthetic,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,1.0,4,-0.9061618315849544,-1.505637650508375,True,25.4,paper_syn_A_sin_bands_off0.90_nz0.12__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.12,synthetic,narrow,5,relu,False,0.0,False,adam,0.001,bce,1.0,5,-0.9925664273971369,-2.7955860854107546,True,26.5,paper_syn_A_sin_bands_off0.90_nz0.12__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.12,synthetic,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9980000257492065,90,-0.9985561228402198,-3.6164241463956457,True,26.9,paper_syn_A_sin_bands_off0.90_nz0.12__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.12,synthetic,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.9990000128746033,90,-0.9996565017517074,-4.334651981292473,True,27.1,paper_syn_A_sin_bands_off0.90_nz0.12__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.12,synthetic,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,1.0,90,-0.8366904341018697,-1.210036488491811,True,24.7,paper_syn_A_sin_bands_off0.90_nz0.12__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.12,synthetic,wide,5,relu,False,0.0,False,adam,0.001,bce,1.0,4,-0.9436101064152221,-1.770006225836712,True,25.3,paper_syn_A_sin_bands_off0.90_nz0.12__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.12,synthetic,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9975000023841858,90,-0.9997083258921993,-4.416437390505671,True,27.8,paper_syn_A_sin_bands_off0.90_nz0.12__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.12,synthetic,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.9984999895095825,90,-0.9958704167806023,-3.090329523415373,True,28.4,paper_syn_A_sin_bands_off0.90_nz0.12__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
