dataset,mode,width,depth,activation,batchnorm,dropout,residual,optimizer,lr,loss,test_acc,best_k,rho,z,connected_all_layers,elapsed_s,run_id,error,session
paper_syn_C_sine_surface_plane_nz0.16_nxy0.03,synthetic,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.8769999742507935,90,0.13862187739363352,0.13952017790631677,True,39.2,paper_syn_C_sine_surface_plane_nz0.16_nxy0.03__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.16_nxy0.03,synthetic,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.8845000267028809,4,-0.6358867180242725,-0.7512376190325739,True,39.6,paper_syn_C_sine_surface_plane_nz0.16_nxy0.03__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.16_nxy0.03,synthetic,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.8820000290870667,18,-0.999999868162925,-7.254328619247669,True,39.4,paper_syn_C_sine_surface_plane_nz0.16_nxy0.03__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.16_nxy0.03,synthetic,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.8830000162124634,10,-0.9998258430652782,-4.674306919925579,True,39.6,paper_syn_C_sine_surface_plane_nz0.16_nxy0.03__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.16_nxy0.03,synthetic,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.8794999718666077,90,-0.3205775527669287,-0.3322906824461764,True,39.2,paper_syn_C_sine_surface_plane_nz0.16_nxy0.03__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.16_nxy0.03,synthetic,wide,5,relu,False,0.0,False,adam,0.001,bce,0.8815000057220459,9,-0.9868661415264011,-2.509560180511826,True,44.2,paper_syn_C_sine_surface_plane_nz0.16_nxy0.03__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.16_nxy0.03,synthetic,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.8799999952316284,15,-0.9999306691030494,-5.134866211097315,True,39.5,paper_syn_C_sine_surface_plane_nz0.16_nxy0.03__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.16_nxy0.03,synthetic,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.887499988079071,5,-0.9981427162531502,-3.490429158498296,True,39.9,paper_syn_C_sine_surface_plane_nz0.16_nxy0.03__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
