dataset,mode,width,depth,activation,batchnorm,dropout,residual,optimizer,lr,loss,test_acc,best_k,rho,z,connected_all_layers,elapsed_s,run_id,error,session
paper_syn_C_sine_surface_plane_nz0.08_nxy0.03,synthetic,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.940500020980835,7,-0.9959077920581187,-3.0948847979779384,True,38.8,paper_syn_C_sine_surface_plane_nz0.08_nxy0.03__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.08_nxy0.03,synthetic,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.9465000033378601,12,-0.9903662285427834,-2.665399574912958,True,39.4,paper_syn_C_sine_surface_plane_nz0.08_nxy0.03__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.08_nxy0.03,synthetic,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9319999814033508,15,-0.9999999360224598,-7.254328619247669,True,38.4,paper_syn_C_sine_surface_plane_nz0.08_nxy0.03__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.08_nxy0.03,synthetic,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.9350000023841858,90,-0.994542236576657,-2.950565385616801,True,38.9,paper_syn_C_sine_surface_plane_nz0.08_nxy0.03__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.08_nxy0.03,synthetic,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9390000104904175,10,-0.999859337946774,-4.781113588582707,True,39.0,paper_syn_C_sine_surface_plane_nz0.08_nxy0.03__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.08_nxy0.03,synthetic,wide,5,relu,False,0.0,False,adam,0.001,bce,0.9409999847412109,90,-0.9972638334053174,-3.2964877758942177,True,39.6,paper_syn_C_sine_surface_plane_nz0.08_nxy0.03__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.08_nxy0.03,synthetic,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9315000176429749,15,-0.9999989014226579,-7.207320585932828,True,38.1,paper_syn_C_sine_surface_plane_nz0.08_nxy0.03__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.08_nxy0.03,synthetic,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.9365000128746033,9,-0.9786067413015996,-2.2635361758415793,True,39.3,paper_syn_C_sine_surface_plane_nz0.08_nxy0.03__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
