dataset,mode,width,depth,activation,batchnorm,dropout,residual,optimizer,lr,loss,test_acc,best_k,rho,z,connected_all_layers,elapsed_s,run_id,error,session
paper_syn_A_sin_bands_off0.90_nz0.10,synthetic,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,1.0,20,-0.9981098218760482,-3.4816429267470057,True,20.8,paper_syn_A_sin_bands_off0.90_nz0.10__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.10,synthetic,narrow,5,relu,False,0.0,False,adam,0.001,bce,1.0,4,-0.9343660430276,-1.6917208633217935,True,22.7,paper_syn_A_sin_bands_off0.90_nz0.10__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.10,synthetic,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9994999766349792,90,-0.9999959158162774,-6.550766905603087,True,26.8,paper_syn_A_sin_bands_off0.90_nz0.10__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.10,synthetic,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.9994999766349792,90,-0.9526527117408565,-1.859717272118552,True,26.1,paper_syn_A_sin_bands_off0.90_nz0.10__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.10,synthetic,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,1.0,15,-0.8787177736387699,-1.3701122544539495,True,16.9,paper_syn_A_sin_bands_off0.90_nz0.10__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.10,synthetic,wide,5,relu,False,0.0,False,adam,0.001,bce,1.0,90,-0.9999863231550961,-5.946473325080595,True,21.3,paper_syn_A_sin_bands_off0.90_nz0.10__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.10,synthetic,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9990000128746033,90,-0.9995880041643224,-4.243719238833002,True,27.6,paper_syn_A_sin_bands_off0.90_nz0.10__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_A_sin_bands_off0.90_nz0.10,synthetic,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.9994999766349792,90,-0.999810333967316,-4.631649049086713,True,27.5,paper_syn_A_sin_bands_off0.90_nz0.10__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
