dataset,mode,width,depth,activation,batchnorm,dropout,residual,optimizer,lr,loss,test_acc,best_k,rho,z,connected_all_layers,elapsed_s,run_id,error,session
paper_syn_B_two_spirals_nz0.45_t3.5,synthetic,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.6589999794960022,90,-0.6482043676327953,-0.7721956475710776,True,37.9,paper_syn_B_two_spirals_nz0.45_t3.5__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.45_t3.5,synthetic,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.6535000205039978,90,-0.9968104286274779,-3.219709929521594,True,39.4,paper_syn_B_two_spirals_nz0.45_t3.5__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.45_t3.5,synthetic,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.6669999957084656,30,-0.8946937958847266,-1.4449700916485888,True,38.9,paper_syn_B_two_spirals_nz0.45_t3.5__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.45_t3.5,synthetic,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.656499981880188,12,-0.9999998571325871,-7.254328619247669,True,39.1,paper_syn_B_two_spirals_nz0.45_t3.5__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.45_t3.5,synthetic,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.6600000262260437,18,-0.9879000912172796,-2.5508181080352985,True,38.3,paper_syn_B_two_spirals_nz0.45_t3.5__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.45_t3.5,synthetic,wide,5,relu,False,0.0,False,adam,0.001,bce,0.6535000205039978,50,-0.9999616309862023,-5.430694176167864,True,40.1,paper_syn_B_two_spirals_nz0.45_t3.5__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.45_t3.5,synthetic,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.659500002861023,9,-0.927367787563441,-1.6392509947408536,True,38.7,paper_syn_B_two_spirals_nz0.45_t3.5__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.45_t3.5,synthetic,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.6474999785423279,18,-0.9992276320023259,-3.9294051812818074,True,39.5,paper_syn_B_two_spirals_nz0.45_t3.5__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
