dataset,mode,width,depth,activation,batchnorm,dropout,residual,optimizer,lr,loss,test_acc,best_k,rho,z,connected_all_layers,elapsed_s,run_id,error,session
paper_syn_C_sine_surface_plane_nz0.05_nxy0.03,synthetic,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9524999856948853,5,-0.9579725325787956,-1.920670701970163,True,38.9,paper_syn_C_sine_surface_plane_nz0.05_nxy0.03__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.05_nxy0.03,synthetic,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.9520000219345093,4,-0.9691301167708113,-2.077783051639367,True,39.2,paper_syn_C_sine_surface_plane_nz0.05_nxy0.03__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.05_nxy0.03,synthetic,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9484999775886536,90,-0.8933207611169464,-1.4381305090305472,True,38.8,paper_syn_C_sine_surface_plane_nz0.05_nxy0.03__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.05_nxy0.03,synthetic,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.949999988079071,90,-0.9443394414651108,-1.7767028943874872,True,43.4,paper_syn_C_sine_surface_plane_nz0.05_nxy0.03__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.05_nxy0.03,synthetic,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9520000219345093,15,-0.9999333989692105,-5.154952191354118,True,38.9,paper_syn_C_sine_surface_plane_nz0.05_nxy0.03__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.05_nxy0.03,synthetic,wide,5,relu,False,0.0,False,adam,0.001,bce,0.9495000243186951,50,-0.9964324927452717,-3.163625004602107,True,39.4,paper_syn_C_sine_surface_plane_nz0.05_nxy0.03__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.05_nxy0.03,synthetic,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9480000138282776,9,-0.9940308358258962,-2.9056532507214095,True,38.4,paper_syn_C_sine_surface_plane_nz0.05_nxy0.03__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_C_sine_surface_plane_nz0.05_nxy0.03,synthetic,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.9505000114440918,9,-0.9874821864929916,-2.5337355866560958,True,39.4,paper_syn_C_sine_surface_plane_nz0.05_nxy0.03__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
