dataset,mode,width,depth,activation,batchnorm,dropout,residual,optimizer,lr,loss,test_acc,best_k,rho,z,connected_all_layers,elapsed_s,run_id,error,session
paper_syn_B_two_spirals_nz0.20_t3.5,synthetic,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.625,7,-0.5115769187076342,-0.5648633509004795,True,34.3,paper_syn_B_two_spirals_nz0.20_t3.5__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.20_t3.5,synthetic,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.6269999742507935,10,-0.961747285926011,-1.968688156786135,True,35.9,paper_syn_B_two_spirals_nz0.20_t3.5__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.20_t3.5,synthetic,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.6330000162124634,15,-0.999319518392618,-3.992758323096652,True,35.6,paper_syn_B_two_spirals_nz0.20_t3.5__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.20_t3.5,synthetic,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.625,90,-0.9977838401013714,-3.402008921257786,True,36.2,paper_syn_B_two_spirals_nz0.20_t3.5__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.20_t3.5,synthetic,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.6359999775886536,9,-0.9459053372832881,-1.7913735458466966,True,34.9,paper_syn_B_two_spirals_nz0.20_t3.5__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.20_t3.5,synthetic,wide,5,relu,False,0.0,False,adam,0.001,bce,0.6165000200271606,18,-0.8721316867439017,-1.3419160341970582,True,35.2,paper_syn_B_two_spirals_nz0.20_t3.5__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.20_t3.5,synthetic,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.6365000009536743,18,-0.9994009163393065,-4.056478448095713,True,35.4,paper_syn_B_two_spirals_nz0.20_t3.5__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
paper_syn_B_two_spirals_nz0.20_t3.5,synthetic,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.6274999976158142,9,-0.9087397238229444,-1.52024143551833,True,36.7,paper_syn_B_two_spirals_nz0.20_t3.5__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
