network_id,epoch,architecture,depth,width,layer_structure,r_all,p_all,r_skip,p_skip,accuracy,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
1,1,flat,5,64,64→64→64→64→64,0.34171400919542805,,0.5561176522637933,,0.9308333396911621,0.046572234481573105,-0.16163894534111023,-0.1727406531572342,-0.3529973328113556,,,,,,,,
1,2,flat,5,64,64→64→64→64→64,-0.9087405124268186,,-0.7887463013858629,,0.6365000009536743,-0.07261703163385391,-0.017600247636437416,-0.4159666895866394,-0.6993082761764526,,,,,,,,
2,1,flat,6,64,64→64→64→64→64→64,-0.7275357850005072,,-0.8997635231603685,,0.9008333086967468,0.0091472789645195,-0.14551617205142975,-0.4129115343093872,-0.2751668095588684,-0.27433106303215027,,,,,,,
2,2,flat,6,64,64→64→64→64→64→64,-0.742814233862117,,-0.9166289246162015,,0.734000027179718,0.06628331542015076,0.20821988582611084,-0.03332333639264107,-0.3478336036205292,-0.5300331711769104,,,,,,,
