network_id,architecture,depth,width,layer_structure,r_all,p_all,r_skip,p_skip,accuracy,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
1,flat,4,16,16→16→16→16,-0.972745128060023,,-1.0,,0.9340000152587891,0.08836761862039566,0.2201145738363266,-0.06447099894285202,,,,,,,,,
2,flat,5,16,16→16→16→16→16,-0.9694765999886655,,-0.9929903962877841,,0.9045000076293945,-0.13418281078338623,-0.11793690174818039,-0.13692568242549896,0.09464949369430542,,,,,,,,
3,flat,6,16,16→16→16→16→16→16,-0.8972172928336006,,-0.9046100896523915,,0.49050000309944153,0.05822363868355751,0.0402529276907444,-0.31721964478492737,-0.0785892978310585,-0.36385366320610046,,,,,,,
