run_name,architecture,dataset,n_layers,accuracy,rho,k
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9919999837875366,-816836798.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9869999885559082,-791487050.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9929999709129333,-808369695.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9894999861717224,-785190499.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9884999990463257,-791174685.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9919999837875366,-770301369.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9909999966621399,-804462685.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9894999861717224,-768670376.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9909999966621399,-795074528.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.987500011920929,-794916450.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9900000095367432,-775961747.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9879999756813049,-825858464.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9909999966621399,-813303725.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9904999732971191,-818187712.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9900000095367432,-834335170.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9915000200271606,-825290069.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9894999861717224,-804847014.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9869999885559082,-797955091.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9890000224113464,-804104249.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9894999861717224,-815094306.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9915000200271606,-787580649.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9900000095367432,-801776457.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9879999756813049,-766200658.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9900000095367432,-841247610.3333334,500
