dataset,width,depth,error,elapsed_s
svhn_1v7,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,24.1
svhn_1v7,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,29.7
svhn_1v7,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,27.8
svhn_1v7,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,34.6
svhn_3v8,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,21.4
svhn_3v8,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,26.4
svhn_3v8,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,18.8
svhn_3v8,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,23.1
svhn_3v8,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,21.3
svhn_3v8,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,28.8
synthetic_A_moons_1k_each,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.4
synthetic_A_moons_1k_each,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,8.6
synthetic_A_moons_1k_each,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.3
synthetic_A_moons_1k_each,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,10.5
synthetic_A_moons_1k_each,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.4
synthetic_A_moons_1k_each,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,8.8
synthetic_B_circles_1k_each,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.4
synthetic_B_circles_1k_each,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,8.5
synthetic_B_circles_1k_each,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.4
synthetic_B_circles_1k_each,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,8.4
synthetic_B_circles_1k_each,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.4
synthetic_B_circles_1k_each,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,8.8
synthetic_C_blobs_1k_each,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.4
synthetic_C_blobs_1k_each,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,8.6
synthetic_C_blobs_1k_each,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.4
synthetic_C_blobs_1k_each,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,10.6
synthetic_C_blobs_1k_each,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.3
synthetic_C_blobs_1k_each,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,8.6
