architecture,dataset,k,model_idx,accuracy,rho,dropout_rate,run_id
narrow_11,mnist_6_vs_8,400,44,0.989130437374115,-457962704.0,,narrow_11_mnist_6_vs_8_k400_m44
narrow_11,mnist_6_vs_8,400,45,0.988095223903656,-470041015.8333333,,narrow_11_mnist_6_vs_8_k400_m45
narrow_11,mnist_6_vs_8,400,46,0.988095223903656,-482481892.3333333,,narrow_11_mnist_6_vs_8_k400_m46
narrow_11,mnist_6_vs_8,400,47,0.989130437374115,-490603785.8333333,,narrow_11_mnist_6_vs_8_k400_m47
narrow_11,mnist_6_vs_8,400,48,0.9849896430969238,-459893247.8333333,,narrow_11_mnist_6_vs_8_k400_m48
narrow_11,mnist_6_vs_8,400,49,0.9875776171684265,-466861231.1666667,,narrow_11_mnist_6_vs_8_k400_m49
narrow_11,mnist_6_vs_8,400,50,0.990165650844574,-475077590.3333333,,narrow_11_mnist_6_vs_8_k400_m50
narrow_11,mnist_6_vs_8,400,51,0.9886128306388855,-471374275.8333333,,narrow_11_mnist_6_vs_8_k400_m51
narrow_11,mnist_6_vs_8,400,52,0.9896480441093445,-469530740.1666667,,narrow_11_mnist_6_vs_8_k400_m52
narrow_11,mnist_6_vs_8,400,53,0.9860248565673828,-468454881.1666667,,narrow_11_mnist_6_vs_8_k400_m53
narrow_11,mnist_6_vs_8,400,54,0.989130437374115,-468470090.0,,narrow_11_mnist_6_vs_8_k400_m54
narrow_11,mnist_6_vs_8,400,55,0.9865424633026123,-480599442.6666667,,narrow_11_mnist_6_vs_8_k400_m55
narrow_11,mnist_6_vs_8,400,56,0.9875776171684265,-460694391.3333333,,narrow_11_mnist_6_vs_8_k400_m56
narrow_11,mnist_6_vs_8,400,57,0.9912008047103882,-480367066.0,,narrow_11_mnist_6_vs_8_k400_m57
narrow_11,mnist_6_vs_8,400,58,0.9875776171684265,-467067546.6666667,,narrow_11_mnist_6_vs_8_k400_m58
narrow_11,mnist_6_vs_8,400,59,0.9875776171684265,-481928423.8333333,,narrow_11_mnist_6_vs_8_k400_m59
narrow_11,mnist_6_vs_8,400,60,0.990165650844574,-468558700.5,,narrow_11_mnist_6_vs_8_k400_m60
narrow_11,mnist_6_vs_8,400,61,0.988095223903656,-469317258.0,,narrow_11_mnist_6_vs_8_k400_m61
