run_name,architecture,depth,dataset,dataset_type,model_id,k,accuracy,rho,n_layers
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,37,400,0.9860248565673828,-466828935.27272725,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,38,400,0.988095223903656,-465006283.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,39,400,0.9896480441093445,-490154615.27272725,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,40,400,0.989130437374115,-468419049.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,41,400,0.9870600700378418,-471187708.90909094,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,42,400,0.989130437374115,-472190450.90909094,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,43,400,0.989130437374115,-471793362.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,44,400,0.989130437374115,-460668385.45454544,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,45,400,0.988095223903656,-472627983.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,46,400,0.988095223903656,-484411952.90909094,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,47,400,0.989130437374115,-494378068.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,48,400,0.9849896430969238,-462136622.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,49,400,0.9875776171684265,-469995924.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,50,400,0.990165650844574,-477399624.90909094,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,51,400,0.9886128306388855,-473185988.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,52,400,0.9896480441093445,-472541789.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,53,400,0.9860248565673828,-471583682.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,54,400,0.989130437374115,-471096419.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,55,400,0.9865424633026123,-483132603.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,56,400,0.9875776171684265,-462864812.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,57,400,0.9912008047103882,-483924929.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,58,400,0.9875776171684265,-469331953.45454544,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,59,400,0.9875776171684265,-484819178.72727275,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,60,400,0.990165650844574,-471234779.27272725,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,61,400,0.988095223903656,-471505389.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,62,400,0.9886128306388855,-478863085.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,63,400,0.9860248565673828,-463895793.45454544,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,64,400,0.9865424633026123,-477602889.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,65,400,0.9896480441093445,-474622488.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,66,400,0.9922360181808472,-485231029.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,67,400,0.989130437374115,-480084841.09090906,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,68,400,0.9886128306388855,-464259145.09090906,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,69,400,0.9886128306388855,-471945993.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,0,325,0.9886128306388855,-313553721.27272725,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,1,325,0.9917184114456177,-305409787.09090906,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,2,325,0.9875776171684265,-326802110.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,3,325,0.9870600700378418,-325050682.72727275,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,4,325,0.9875776171684265,-317213765.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,5,325,0.9829192757606506,-316603383.09090906,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,6,325,0.989130437374115,-311977026.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,7,325,0.9870600700378418,-309221404.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,8,325,0.9896480441093445,-316915012.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,9,325,0.9912008047103882,-319938058.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,10,325,0.989130437374115,-313685259.45454544,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,11,325,0.990165650844574,-309337651.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,12,325,0.9912008047103882,-320652467.09090906,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,13,325,0.9870600700378418,-314843452.1818182,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,14,325,0.9886128306388855,-309760714.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,15,325,0.9896480441093445,-330113761.09090906,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,16,325,0.9912008047103882,-313513613.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,17,325,0.9875776171684265,-316916589.45454544,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,18,325,0.989130437374115,-319028818.72727275,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,19,325,0.990165650844574,-309757555.09090906,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,20,325,0.989130437374115,-309314252.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,21,325,0.9855072498321533,-318522516.90909094,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,22,325,0.990165650844574,-321828963.27272725,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,23,325,0.990165650844574,-314309626.72727275,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,24,325,0.988095223903656,-311536660.1818182,11
